# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
6.267500000000000E+09;-7.971528131567300E+01;-4.325289741330509E+01;
6.275000000000000E+09;-7.983002435954700E+01;1.398811400892288E+02;
6.282500000000000E+09;-7.981929013564721E+01;-3.786237071146797E+01;
6.290000000000000E+09;-7.998476931027332E+01;1.502150674519873E+02;
6.297500000000000E+09;-7.938471764415117E+01;-1.883997348148969E+01;
6.305000000000000E+09;-7.943511462883205E+01;1.666650597080657E+02;
6.312500000000000E+09;-7.964224795137416E+01;-8.664922981877172E+00;
6.320000000000000E+09;-7.996973695098993E+01;1.753785542565435E+02;
6.327500000000000E+09;-8.056720794513686E+01;1.866433541185914E+00;
6.335000000000000E+09;-7.979494523010894E+01;-1.733699361666932E+02;
6.342500000000000E+09;-7.959441202153458E+01;1.495782444141653E+01;
6.350000000000000E+09;-8.007087295278517E+01;-1.636024551627639E+02;
6.357500000000000E+09;-8.038651257243663E+01;2.724770771935253E+01;
6.365000000000000E+09;-8.033922648211745E+01;-1.501940882375193E+02;
6.372500000000000E+09;-8.018366474259606E+01;4.109811415900874E+01;
6.380000000000000E+09;-7.976137818713534E+01;-1.396769917801359E+02;
6.387500000000000E+09;-8.032899132878518E+01;5.565560839887931E+01;
6.395000000000000E+09;-8.035769988098222E+01;-1.231756447994998E+02;
6.402500000000000E+09;-8.051545497691302E+01;6.594031195630180E+01;
6.410000000000000E+09;-7.986538926979911E+01;-1.074703554410232E+02;
6.417500000000000E+09;-7.998446031312250E+01;7.466008664049106E+01;
6.425000000000000E+09;-8.036749367627765E+01;-9.861105122182948E+01;
6.432500000000000E+09;-7.998879099557429E+01;8.896729044350892E+01;
6.440000000000000E+09;-8.033931877827482E+01;-8.719563686769848E+01;
6.447500000000000E+09;-8.037782077177008E+01;1.037171158954795E+02;
6.455000000000000E+09;-8.029102123829487E+01;-7.626647323123719E+01;
6.462500000000000E+09;-8.036749604837922E+01;1.127419078273118E+02;
6.470000000000000E+09;-8.053951847524921E+01;-6.718884088298613E+01;
6.477500000000000E+09;-8.004858119922122E+01;1.272097368540480E+02;
6.485000000000000E+09;-7.999203506411848E+01;-4.827444141113305E+01;
6.492500000000000E+09;-7.982322423041366E+01;1.362249779716869E+02;
6.500000000000000E+09;-8.066174090995599E+01;-4.195613071688066E+01;
